num;Mean_mse;Mean_mae;Mean_mape;Mean_aof;sequence;hour;tr1;tr2;gauss_noise;sin_noise;train_percent;layer_size;reg1;reg2;epochs;batch_sizes;sqrp;last;Median_aof;Var
7062200801272416996;2118.9551867076198;34.599056949615324;24.124397432818558;1256.0611538335838;IM;71.97911835;0.0;0.0;0.01;0;0.65;25;0;0.01;[175];[8];0;2;112444.30724484105;1139.2028268252366
3055311905906768568;7379.536922026705;58.39696773836042;41.38843730267779;675.7066903958023;IM;71.97911835;0.0;0.0;0.01;0;0.65;30;0;0.01;[75];[8];0;2;13706.53738498;614.5055567732259
5424869950537637825;7935.111467406891;53.19713888005019;32.05083144896741;1127.161628517068;IM;71.97911835;0.0;0.0;0.01;0;0.65;25;0;0.01;[200];[8];0;2;50168.8117175233;1090.2140776225947
1640695335231053306;11840.08443740077;70.2528242224699;43.308914029554174;768.3887383529938;IM;71.97911835;0.0;0.0;0.01;0;0.65;30;0;0.01;[100];[8];0;2;38365.760682040935;617.8624238381371
6227927203309000909;2509.2980853402055;35.54670664668063;25.164785056806274;993.645008719606;IM;71.97911835;0.0;0.0;0.01;0;0.65;30;0;0.01;[125];[8];0;2;39041.5170714359;1055.8006771661953
5361073626460758458;10170.986402036202;73.06363830808097;52.29993197939433;613.1568401128934;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0.0005;0.01;[50];[8];0;2;0.4891765347875946;612.880501978583
239331055393946665;8812.562934561747;68.41327242090264;48.732636319691586;613.9981488273228;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0.0005;0.01;[75];[8];0;2;16.917724437560572;612.5702116343573
3241742372872579835;10739.63353687256;63.779803806298254;35.21420530154056;1092.9342903413203;IM;71.97911835;0.0;0.0;0.01;0;0.65;30;0;0.01;[150];[8];0;2;51680.722030711026;1086.6502838834044
1763031962174174890;7621.866979985341;51.13998477841062;30.46367094759781;1049.9220335703042;IM;71.97911835;0.0;0.0;0.01;0;0.65;30;0;0.01;[175];[8];0;2;31332.259698870657;1051.4172855542424
7351923123033172704;5736.445089193673;51.130705621568964;36.205808466385356;753.0274256779317;IM;71.97911835;0.0;0.0;0.01;0;0.65;20;0.0005;0.01;[100];[8];0;2;30372.323957778117;613.5016877573706
5573518450816847143;12613.17476324944;73.0717861522713;41.315142818860046;1279.111680223413;IM;71.97911835;0.0;0.0;0.01;0;0.65;30;0;0.01;[200];[8];0;2;212900.85167026846;1222.8652500490562
3105698146874344028;9982.991374683124;72.82666613307705;51.939364279943106;613.3339144077672;IM;71.97911835;0.0;0.0;0.01;0;0.65;25;0.0005;0.01;[50];[8];0;2;1.0819279317846457;612.9378017056497
