num;Mean_mse;Mean_mae;Mean_mape;Mean_aof;Median_aof;Variance;sequence;model;hour;last;tr1;tr2;gauss_noise;sin_noise;train_percent;layer_size;reg1;reg2;epochs;batch_sizes;sqrp;time_delta;epochs_1;trans_size
972766375866192703;47.08542956316178;559.4260864670705;1143.8086003508752;121.93138427734375;125.9478530883789;180.78615644640757;IM;RNN;0;2;0;0;10;0;0.7;25;0;0.01;[125];[8];1;1;[0];0
2746934356124952085;9.74445980556708;254.66070776061528;536.136318610418;54.156944274902344;61.29969024658203;695.456462411186;DS;RNN_fs;0;2;0;0;5;0;0.7;25;0;0.05;[125];[8];1;1;[0];0
5203780919716050937;50.371955615419225;103.33395194195461;561.6896190156588;111.8607780456543;111.77978515625;22.268799400299905;IS;RNN_fs;0;2;0;0;10;0;0.7;25;0;0.05;[125];[8];1;1;[0];0
211510450347218387;2.634287880347267;164.6167117452025;251.762612517013;92.76689910888672;92.2979736328125;92.59893008942018;IM;RNN;0;2;0;0;2;0;0.7;25;0;0.05;[125];[8];1;1;[0];0
827931315659623620;12.399933881013036;51.54214481740418;296.7143967964764;117.19987335205079;114.36420822143555;269.53241980272344;IS;RNN_fs;0;2;0;0;5;0;0.7;25;0;0.05;[125];[8];1;1;[0];0
7620794075469089256;44.1624948391629;635.202269548239;1005.5544925717098;117.63985671997071;123.59368896484375;231.75287215948396;IM;RNN;0;2;0;0;10;0;0.7;25;0;0.05;[125];[8];1;1;[0];0
10172982062801976;40.39524883639969;327.7667874611564;874.2203754609916;82.94818744659423;92.69247817993164;741.330746017804;DS;RNN_fs;0;2;0;0;10;0;0.7;25;0;0.05;[125];[8];1;1;[0];0
2207502703531090016;10.610995870910354;241.20533943945483;430.22895120552505;92.03618545532227;92.78274154663086;39.80574597659812;DS;RNN_fs;0;2;0;0;5;0;0.7;25;0;0.1;[125];[8];1;1;[0];0
4121821264657647662;49.11869616289958;117.5233008965755;489.51424609212427;102.22615814208984;103.36262130737305;31.357139283919242;IS;RNN_fs;0;2;0;0;10;0;0.7;25;0;0.1;[125];[8];1;1;[0];0
7329457245314258638;2.770276680671854;485.06882832278563;2325.316776881292;95.66254959106445;96.71160507202148;15.399131759803856;IM;RNN;0;2;0;0;2;0;0.7;25;0;0.1;[125];[8];1;1;[0];0
2184394363497547354;11.675192600804454;108.96949818727335;396.0371361841274;104.87792892456055;104.08789443969727;47.26389370157209;IS;RNN_fs;0;2;0;0;5;0;0.7;25;0;0.1;[125];[8];1;1;[0];0
5626158755788562868;48.77665943293706;384.9557075069181;1127.7139607662925;118.23923416137696;118.62973022460938;43.266861476777706;IM;RNN;0;2;0;0;10;0;0.7;25;0;0.1;[125];[8];1;1;[0];0
491523980985459192;41.18547189210817;347.7764133544489;540.6008271829976;99.41651153564453;100.4012336730957;58.14218912817305;DS;RNN_fs;0;2;0;0;10;0;0.7;25;0;0.1;[125];[8];1;1;[0];0
1777608659529378785;11.434094483504234;270.8582381611;2009.099751029918;16.942464876174927;14.215227603912354;298.3017659053456;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.005;[75];[8];1;1;[0];0
5919603829289990229;53.15208322494798;135.47695704470638;276.7929341868255;113.125146484375;113.40767288208008;5.975613236646168;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.005;[75];[8];1;1;[0];0
5973534360142062568;2.513574735180612;142.59594272501394;506.97852930068893;60.15156173706055;59.83731651306152;240.19830217964773;IM;RNN;0;2;0;0;2;0;0.7;30;0;0.005;[75];[8];1;1;[0];0
2843398983554383800;12.471254629672739;54.55043474429935;301.12655428742073;113.83145294189453;113.12653732299805;4.025268325603102;IS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.005;[75];[8];1;1;[0];0
5754609333407047971;51.063843828278664;960.6949719874799;1134.9405934191325;106.0107521057129;110.02036666870117;399.72867200250096;IM;RNN;0;2;0;0;10;0;0.7;30;0;0.005;[75];[8];1;1;[0];0
2316676487823642646;46.76196679894061;222.54875312692502;2063.177937371111;12.002547788619996;6.472466230392456;205.3999607355097;DS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.005;[75];[8];1;1;[0];0
6701989959909320095;7.976310052561527;339.0236032530041;1464.4139278908146;17.52738800048828;14.06140422821045;361.2385691178229;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.01;[75];[8];1;1;[0];0
2686436683596959441;48.885376646848435;89.87706064647482;427.07366677081546;113.58715286254883;113.4089469909668;1.658474978595623;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.01;[75];[8];1;1;[0];0
6993274812228041361;3.402334319186104;168.46569266068616;667.1346745942045;58.127384185791016;57.826419830322266;231.33091343850828;IM;RNN;0;2;0;0;2;0;0.7;30;0;0.01;[75];[8];1;1;[0];0
4388463213326786830;13.130930117277279;72.38650766610175;311.9288135533107;114.88184280395508;113.78955841064453;15.558959522359654;IS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.01;[75];[8];1;1;[0];0
1544226150696193576;51.1056472527018;561.5829671356728;1096.507012787124;108.13445205688477;110.39670944213867;313.1675083579315;IM;RNN;0;2;0;0;10;0;0.7;30;0;0.01;[75];[8];1;1;[0];0
4526573132730983537;41.972945515494295;338.4946292419253;1237.708665980878;25.920893931388854;11.137780666351318;944.8111185039597;DS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.01;[75];[8];1;1;[0];0
7450059561658378298;9.412630002377355;280.36288633332555;1399.5762982159633;3.738176441192627;9.797665119171143;279.8436078090609;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.05;[75];[8];1;1;[0];0
8007956667863413577;49.335755444895554;113.35593197700555;379.47162757874264;110.68766403198242;114.0033073425293;92.49624339300499;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.05;[75];[8];1;1;[0];0
4233569940637139906;2.9745523674729233;93.8953418077402;438.9194610121347;79.42606544494629;79.20714569091797;196.21908661061678;IM;RNN;0;2;0;0;2;0;0.7;30;0;0.05;[75];[8];1;1;[0];0
5036586824157271504;12.58073872323702;119.44926582813491;342.1461617502765;115.24551391601562;115.69435501098633;34.85506567332195;IS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.05;[75];[8];1;1;[0];0
8768142266438886741;43.97209924086156;677.957430419996;1281.2862650455934;113.05162048339844;117.42649841308594;150.1809647506685;IM;RNN;0;2;0;0;10;0;0.7;30;0;0.05;[75];[8];1;1;[0];0
1917957290030090373;46.6979242571509;218.01023688634422;811.6672333770488;47.773808288574216;50.48013496398926;299.83491175993925;DS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.05;[75];[8];1;1;[0];0
1506952654188279562;11.500218752814266;83.66492323794101;376.69167317919783;39.53819932937622;39.826332092285156;690.6930979189791;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.1;[75];[8];1;1;[0];0
7561056891082152441;49.51890625460061;140.77843682735838;721.4504531977311;95.51128845214843;97.60298538208008;76.5789034197363;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.1;[75];[8];1;1;[0];0
5437050934295522187;2.7134626515660494;245.50982105722568;616.3033199332133;84.52065238952636;87.98614883422852;264.20036874520724;IM;RNN;0;2;0;0;2;0;0.7;30;0;0.1;[75];[8];1;1;[0];0
5833656317643271530;11.645656048991672;125.18444925444321;277.2758484314469;103.51239242553712;106.69343185424805;107.34528147680744;IS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.1;[75];[8];1;1;[0];0
1892411487123565049;44.82338627269819;894.4784259684482;1179.593630925799;114.02790451049805;113.97782897949219;87.79766735117009;IM;RNN;0;2;0;0;10;0;0.7;30;0;0.1;[75];[8];1;1;[0];0
167114359253155576;44.53503490680148;249.10654071769318;431.9752295229904;54.31945915222168;57.46536636352539;497.5071902901147;DS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.1;[75];[8];1;1;[0];0
5429285668022342070;11.739195938844242;706.9069291326143;967.6273174693581;61.640180587768555;63.98046684265137;611.0581733748616;DS;RNN_fs;0;2;0;0;5;0;0.7;30;0;0.005;[100];[8];1;1;[0];0
6396110844926073745;50.8823714569278;90.5268876974041;497.00604452651686;113.36517715454102;112.11008834838867;11.868708672691719;IS;RNN_fs;0;2;0;0;10;0;0.7;30;0;0.005;[100];[8];1;1;[0];0
6713921698733271191;2.4075545611101647;406.8041392719765;686.7106318465245;86.03222351074218;89.36671829223633;109.25797019340332;IM;RNN;0;2;0;0;2;0;0.7;30;0;0.005;[100];[8];1;1;[0];0
