num;Mean_mse;Mean_mae;Mean_mape;Mean_aof;Median_aof;Variance;sequence;hour;last;tr1;tr2;gauss_noise;sin_noise;train_percent;layer_size;reg1;reg2;epochs;batch_sizes;sqrp;time_delta;epochs_1;trans_size
2299294295154090378;448.4981748116712;440.9319976102336;433.8604124040151;-11.509674453735352;-12.410036087036133;48.87706674015502;IM;0;2;0;0;0;0;1;16;0.0;8.47032947254302e-231;[150];[32];0;1;[200];50
1872896947826139192;428.7706830096273;421.45393464503513;414.6218385301625;-7.791727447509766;-4.7651824951171875;195.9862911470784;IM;0;2;0;0;0;0;1;16;0.0;1.6940658945086036e-231;[150];[32];0;1;[200];50
5475617023258707674;430.12010380115055;422.8088127733039;415.9788829027698;82.18151607513428;21.243608951568604;12157.07226230959;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[200];50
965493634777267364;484.9656069183567;477.1583396323422;469.85975051583046;-9.750153636932373;-10.101992130279541;36.96134512594007;IM;0;2;0;0;0;0;1;16;0.0;8.470329472543018e-232;[150];[32];0;1;[200];50
2387753963631290982;581.8947103657201;573.310875767212;565.2859771323161;10.089311408996583;-7.9587273597717285;2893.8194715595773;IM;0;2;0;0;0;0;1;16;0.0;8.271806125530295e-264;[150];[32];0;1;[200];100
1448346078601073186;590.7223730762865;581.9996832841229;573.8428643694585;-11.750974369049072;-11.234816074371338;45.86565915615812;IM;0;2;0;0;0;0;1;16;0.0;1.6543612251060586e-264;[150];[32];0;1;[200];100
4983814884956065314;655.1753358492696;645.9417249381664;637.3043355392685;44.19510726928711;-3.890373706817627;8938.439680742613;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[200];100
2134581171273265388;597.5944518561898;588.8196820166199;580.6138852712796;-10.673099327087403;-11.415395259857178;131.8334464663581;IM;0;2;0;0;0;0;1;16;0.0;8.271806125530293e-265;[150];[32];0;1;[200];100
7556019931915485575;737.3928078673428;727.6987482254556;718.5606650230994;-8.918531322479248;-12.70359182357788;174.84816830478275;IM;0;2;0;0;0;0;1;16;0.0;8.077935669463182e-297;[150];[32];0;1;[200];150
6056270896193750735;737.0977960336688;727.3756913169832;718.2716284308366;-6.389972686767578;-1.778986930847168;405.58012406627313;IM;0;2;0;0;0;0;1;16;0.0;1.6155871338926353e-297;[150];[32];0;1;[200];150
2033905815718172591;752.575163283847;716.7967823920505;712.5797991399729;102.78916940689086;83.6499376296997;15072.405367519586;IM;0;2;0;0;0;0;1;16;0.0;0.0;[150];[32];0;1;[200];150
721060699468008591;700.0964211956541;690.6152628742307;681.7350276258069;-8.926480197906494;-9.377041339874268;24.578898460698557;IM;0;2;0;0;0;0;1;16;0.0;8.077935669463177e-298;[150];[32];0;1;[200];150
5662589267391927799;680.8295155579312;705.3128641831482;706.3095361040265;92.747758102417;0.23790740966796875;16590.319237701045;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];50
4681624161129925846;808.8089517632318;715.938527952985;741.0043440783268;74.68699512481689;10.45490837097168;14279.691531704284;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];50
2553350782904687265;894.67154801048;883.8443448461924;875.9469751611487;25.409057235717775;-0.2674274444580078;5747.235470926067;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];50
5008508794218118164;811.8350200298323;858.5284002758841;860.598224371789;17.601468086242676;-26.104251861572266;9690.186646832755;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];50
7829192418614778752;676.8515487392144;634.5758682456062;677.1825320022149;72.15110960006714;36.831398010253906;13251.395092271505;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];100
6814914543630282206;843.677075433995;691.1244400253667;772.5557976031422;68.47759866714478;19.07036256790161;10629.431870306315;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];100
787889086677333577;815.7322557956065;699.6852245180728;724.4595381092658;140.5473373413086;156.65319442749023;15519.430414183103;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];100
111503321551615957;649.5429910970024;656.9117846238989;650.7626660266293;12.865551662445068;-5.401854515075684;5149.307926342309;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];100
8237268522753970588;812.6622486673912;681.3436091664655;718.9791766567038;30.921471214294435;-5.415164947509766;10537.1098449329;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];150
3063293169860675905;661.6244487630358;631.3502339849753;637.2141544799839;145.11113243103028;217.66305541992188;16560.971875348077;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];150
4660261874908036910;750.3198575463258;721.2501253183715;721.7847402356467;64.15925121307373;7.41939640045166;10898.705480901655;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];150
1936307026573688027;504.1180417734178;572.9471847460266;612.7802745649925;23.48493537902832;-24.389777183532715;13323.2067169433;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[50];150
46516374388868230;673.7609844616268;582.2010889926593;611.6769069653262;103.96827774047851;121.65747261047363;20263.526294698433;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];50
6967339205932440417;651.7564321519889;670.0547899763378;670.5218973644048;16.426450538635255;-23.523847579956055;15077.274485521217;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];50
4612308597173047530;858.9454135535701;655.372921969544;742.4774460898881;33.10823392868042;-2.3148508071899414;9937.09257850492;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];50
1760646087863004784;516.5473105267866;529.9866251512248;540.8934884482495;125.32204256057739;203.51025390625;19170.38823578816;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];50
6634136212651267248;652.619894386148;619.312793591589;632.136650900009;104.58608875274658;93.28037929534912;19154.50796984342;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];100
607742333901407276;669.6831566911802;637.9119000433648;670.0738645927667;117.54921474456788;116.04806709289551;15303.485917288679;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];100
1652798818712500114;601.2906625228677;632.6613550012504;650.6745524557232;23.85017910003662;-5.528553485870361;6446.785482496848;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];100
3727053767727939478;594.122496716832;559.8545841208295;581.4017911296312;24.827360343933105;-6.465129852294922;8179.135646567329;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];100
4864052517869376564;693.1195995327544;663.7137142454956;682.9441301368856;129.91600246429442;177.85348510742188;17464.029318084078;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];150
6859354155831544152;701.0307871966136;655.4117203539197;661.7711047379009;109.06956596374512;113.03014850616455;22315.478376022405;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];150
6882822074255685050;818.6481317577261;653.5841056076099;743.3384446181319;136.47907667160035;167.63187408447266;15771.067421427395;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];150
6198795737840952754;771.1155210388004;644.533735326832;710.7896196090529;110.57665700912476;68.86168670654297;15126.305702304153;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[100];150
7033208698176381334;702.6404945980021;574.1548875766059;656.488619084861;131.4793970108032;212.52808380126953;20860.08132442155;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];50
318628318442457926;719.4428376240384;489.7779822030757;599.1590816589732;84.20546979904175;4.593883991241455;16095.398456760307;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];50
6012783219841898830;570.5238835963636;631.2890306564592;630.2221614853972;116.9717869758606;88.16748809814453;14179.549687975352;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];50
3612840007778109321;712.5211733900933;613.5719922582708;658.0375763318277;39.629497051239014;-6.025115489959717;10628.708960156378;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];50
266886513260313;404.4608305081658;512.8277760684934;533.6142474589302;70.99052228927613;1.6740775108337402;12334.811458786373;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];100
1803114126877542149;731.065231639182;696.4806458632929;701.7821176644486;100.96361408233642;79.04033994674683;15830.158924416619;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];100
4871484133061860618;742.0227569756039;597.3321941899136;659.4100132448596;81.70200099945069;28.63196325302124;13091.683046723654;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];100
1142545272321216904;523.525085528087;574.3419814329637;595.3447404445926;107.54060754776;88.53070831298828;13924.919998668478;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];100
3291072150192728741;294.65694005667297;360.7625759571476;454.833280653984;78.46682777404786;6.319268226623535;11983.725797834897;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];150
4523608715720246556;441.1020659118267;509.6649278272289;514.60021357253;121.81737031936646;121.3654317855835;17038.655685229285;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];150
3937685901968489675;566.1826094191473;521.9814588670199;639.4858860099721;63.96645946502686;6.906005859375;13156.068279952024;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];150
568579652355137200;485.3097723151012;521.5547013763393;583.1382265649194;47.35027551651001;-2.9568419456481934;11333.065730864033;IM;0;2;0;0;0;0;1;16;0.0;0.0;[200];[32];0;1;[200];150
569470091132007844;659.3240739399255;685.4728331476801;680.7038496697169;114.69691791534424;111.05045795440674;20728.290022538975;IM;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;1;[50];50
2080351166060976702;627.6582948161092;607.0477427585614;671.5681228449617;30.45635108947754;-4.7706499099731445;6857.869609503883;IM;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;1;[50];50
3109748252916625174;587.341391269129;611.381079535115;626.3839491324619;139.40713920593262;187.75241088867188;13698.77773240746;IM;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;1;[50];50
4668863985820052595;626.9881344549508;574.8275655072978;657.4301896876002;119.18354539871216;188.14771270751953;21252.27306021832;IM;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;1;[50];50
8214001524116931984;616.4375703253221;613.1213123324599;630.9482802655114;110.37765407562256;128.76983451843262;24784.38603661275;IM;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;1;[50];100
369728079612701023;764.4724302961189;646.9915652165745;667.2090288289996;134.10585498809814;161.8904800415039;20655.120543188044;IM;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;1;[50];100
5388696311838581359;682.1596387866198;597.9437155100658;592.0357427133583;145.54230785369873;146.4541072845459;13888.588782234108;IM;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;1;[50];100
7732487619251838751;691.1443534038926;652.070168149937;697.6733062195132;18.154434967041016;-6.601815223693848;5480.65438748288;IM;0;2;0;0;0;0;1;16;0.0;0.0;[250];[32];0;1;[50];100
